battle_#,win_loss,p1,p2,p3,p4,p5,first,last,leader,banned,opp_p1,opp_p2,opp_p3,opp_p4,opp_p5,opp_first,opp_last,opp_leader,opp_banned,date_added,player,opponent
18,False,XingZhe,Molly,Vanessa,Okeanos,Platy,None,Platy,Vanessa,Platy,Seara,Fran,Icares,Jager,Rica,Seara,None,Seara,Rica,2021-01-07 01:28:30,°빛대,VanessaPlease~
19,True,Okeanos,Ganymede,Cheongpung,Diana,Yeonhong,Okeanos,None,Ganymede,Yeonhong,MeiHouWang,Lulu,Pater,Juno,Molly,None,Juno,MeiHouWang,Molly,2021-01-06 12:52:20,°빛대,Ꮤ﹏椛落✿知秋
20,True,Okeanos,Molly,Tetra,Juno,Akroma,Okeanos,None,Juno,Akroma,Chiwu,Nephthys,Bellenus,Verad,Poseidon,None,Verad,Chiwu,Poseidon,2021-01-06 12:04:58,°빛대,Vаllie
21,True,Ganymede,Yeonhong,Cheongpung,Vanessa,Okeanos,Okeanos,None,Vanessa,Okeanos,Vigor,Juno,Velajuel,XingZhe,Leo,None,Leo,XingZhe,Leo,2021-01-06 11:39:55,°빛대,我求你暴走吧
22,True,Okeanos,Yeonhong,Cheongpung,Tesarion,Ganymede,None,Tesarion,Okeanos,Ganymede,Molly,Ragdoll,Vigor,Verdehile,Hathor,Molly,None,Ragdoll,Hathor,2021-01-06 11:16:30,°빛대,C•2S
23,True,Okeanos,Vanessa,Cheongpung,Chiwu,Ganymede,Okeanos,None,Vanessa,Ganymede,Giana,Eshir,Juno,Moore/WaterRYU1,Seara,None,Moore/WaterRYU1,Moore/WaterRYU1,Seara,2021-01-06 11:09:45,°빛대,Crazy☆Dragon
24,True,Okeanos,Ganymede,Vanessa,Cheongpung,Chiwu,None,Chiwu,Vanessa,Chiwu,Seara,Giana,Juno,Fran,Eshir,Seara,None,Seara,Eshir,2021-01-06 11:06:30,°빛대,Crazy☆Dragon
25,True,Okeanos,Ganymede,Vanessa,Cheongpung,Chiwu,Okeanos,None,Vanessa,Chiwu,Fran,Barbara,Daphnis,Eshir,Seara,None,Eshir,Fran,Seara,2021-01-06 11:02:01,°빛대,肉鲜小非南
26,False,XingZhe,Tetra,Akroma,Diana,Molly,None,Diana,Akroma,Molly,Seara,Fran,Vigor,Laika,Herteit,Seara,None,Seara,Herteit,2021-01-06 10:58:05,°빛대,肉鲜小非南
27,False,Okeanos,Molly,XingZhe,Tetra,Verdehile,Okeanos,None,XingZhe,Verdehile,Chiwu,Cheongpung,Wolyung,Eludia,Poseidon,None,Eludia,Wolyung,Poseidon,2021-01-06 10:53:54,°빛대,LlGHT
28,True,Ganymede,Okeanos,Cheongpung,Seara,Yeonhong,None,Yeonhong,Seara,Yeonhong,Fran,Vanessa,Moore/WaterRYU1,Savannah,Verdehile,Fran,None,Vanessa,Verdehile,2021-01-06 10:52:13,°빛대,Nαstyßoy
29,True,Okeanos,XingZhe,Vanessa,Helena,Molly,Okeanos,None,Vanessa,Molly,Seara,Barbara,Ganymede,Savannah,Velajuel,None,Velajuel,Seara,Velajuel,2021-01-07 04:31:32,°빛대,老陈柷我二紅
30,False,XingZhe,Molly,Vanessa,Platy,Okeanos,Okeanos,None,Vanessa,Okeanos,Seara,Chiwu,Fran,Savannah,Rica,None,Rica,Chiwu,Rica,2021-01-07 04:28:05,°빛대,Raxxaz~
31,False,Okeanos,Vanessa,Cheongpung,Rica,Ganymede,Okeanos,None,Vanessa,Ganymede,Seara,Yeonhong,Elucia,MeiHouWang,Molly,None,Molly,Seara,Molly,2021-01-07 04:20:46,°빛대,Duhstin
32,False,XingZhe,Akroma,Tetra,Amduat,Molly,None,Amduat,Akroma,Molly,Okeanos,Yeonhong,MoLong,Cheongpung,Masha,Okeanos,None,Yeonhong,Masha,2021-01-07 04:15:39,°빛대,Duhstin
33,True,Okeanos,Ganymede,Cheongpung,Tesarion,Rica,None,Rica,Tesarion,Rica,Giana,Ragdoll,Antares,Verdehile,Leo,Giana,None,Giana,Leo,2021-01-07 04:10:05,°빛대,conejojo
34,False,Okeanos,Ganymede,Yeonhong,Vanessa,Cheongpung,None,Cheongpung,Vanessa,Cheongpung,Seara,Molly,Juno,Jager,Fran,Seara,None,Seara,Fran,2021-01-07 04:05:04,°빛대,VanessaPlease~
35,True,Ganymede,Vanessa,Cheongpung,Yeonhong,Okeanos,Okeanos,None,Vanessa,Okeanos,Seara,Fran,Han,Betta,Verdehile,None,Verdehile,Seara,Verdehile,2021-01-07 05:52:30,°빛대,Krisleshizle
36,False,Ganymede,Vanessa,Verdehile,Leo,Molly,None,Leo,Vanessa,Molly,Chiwu,Savannah,Fran,TianLang,Okeanos,Okeanos,None,Chiwu,Okeanos,2021-01-07 05:49:46,°빛대,Krisleshizle
37,False,XingZhe,Akroma,Tetra,Amduat,Molly,None,Amduat,Akroma,Molly,Okeanos,Seara,Barbara,Daphnis,Fran,Okeanos,None,Seara,Fran,2021-01-07 05:44:50,°빛대,ジャイアぁん改
38,True,Okeanos,XingZhe,Amduat,Tesarion,Molly,Okeanos,None,Tesarion,Molly,Moore/WaterRYU,Verdehile,Seara,Sekhmet,Rica,None,Rica,Moore/WaterRYU,Rica,2021-01-07 05:39:40,°빛대,ゆー☆ミ
39,True,Ganymede,Chiwu,Yeonhong,Cheongpung,Okeanos,None,Cheongpung,Chiwu,Okeanos,Seara,Velajuel,Barbara,Juno,Verdehile,Seara,None,Seara,Verdehile,2021-01-07 05:36:43,°빛대,ゆー☆ミ
40,True,XingZhe,Molly,Vanessa,Chiwu,Okeanos,Okeanos,None,Vanessa,Okeanos,Seara,Cheongpung,Daphnis,Sian,Fran,None,Sian,Seara,Fran,2021-01-07 05:33:36,°빛대,ジャイアぁん改
